Precinct,1ST CHOICE PARK AND RECREATION COMMISSIONER DISTRICT SIX DISTRICT 6,2ND CHOICE PARK AND RECREATION COMMISSIONER DISTRICT SIX DISTRICT 6,3RD CHOICE PARK AND RECREATION COMMISSIONER DISTRICT SIX DISTRICT 6,COUNT
MINNEAPOLIS W-13 P-05,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,JOSH NEIMAN,UWI,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-05,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-08,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-10 P-05A,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,JOSH NEIMAN,UWI,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,JOSH NEIMAN,UWI,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,UWI,undervote,1
MINNEAPOLIS W-11 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-03,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-03,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-06,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-03,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,BRAD BOURN,BRAD BOURN,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-01,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-03,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-10 P-05A,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-06,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-06,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-02,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-08,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-01,BRAD BOURN,BRAD BOURN,BRAD BOURN,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-08,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-05,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-10 P-05A,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-01,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-03,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,JOSH NEIMAN,UWI,1
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-11 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-10 P-06,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-01,BRAD BOURN,JOSH NEIMAN,BRAD BOURN,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-01,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-10 P-05A,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-01,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,JOSH NEIMAN,UWI,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-01,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-11 P-03,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-04,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,UWI,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-05,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,BRAD BOURN,UWI,1
MINNEAPOLIS W-13 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-03,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-05,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-8 P-06,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,UWI,UWI,BRAD BOURN,1
MINNEAPOLIS W-8 P-07,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-11 P-03,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-10 P-05A,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-10 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-08,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-08,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-05,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-11 P-02,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-02,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-02,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-8 P-02,JOSH NEIMAN,BRAD BOURN,undervote,1
MINNEAPOLIS W-8 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-09,BRAD BOURN,JOSH NEIMAN,BRAD BOURN,1
MINNEAPOLIS W-11 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-07,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-11 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-06,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,JOSH NEIMAN,undervote,1
MINNEAPOLIS W-13 P-07,JOSH NEIMAN,undervote,undervote,1
MINNEAPOLIS W-13 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-11 P-01,BRAD BOURN,undervote,JOSH NEIMAN,1
MINNEAPOLIS W-13 P-03,BRAD BOURN,undervote,undervote,1
MINNEAPOLIS W-13 P-04,BRAD BOURN,undervote,undervote,1
