Precinct,1ST CHOICE PARK AND RECREATION COMMISSIONER DISTRICT TWO DISTRICT 2,2ND CHOICE PARK AND RECREATION COMMISSIONER DISTRICT TWO DISTRICT 2,3RD CHOICE PARK AND RECREATION COMMISSIONER DISTRICT TWO DISTRICT 2,COUNT
MINNEAPOLIS W-4 P-08,JON OLSON,DAVID LUCE,DAVID LUCE,1
MINNEAPOLIS W-4 P-03,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,DAVID LUCE,DAVID LUCE,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-01,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-03,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,JON OLSON,JON OLSON,1
MINNEAPOLIS W-5 P-04,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,JON OLSON,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-03,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-06,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,JON OLSON,JON OLSON,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-03,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-07,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,DAVID LUCE,UWI,1
MINNEAPOLIS W-3 P-07,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,JON OLSON,JON OLSON,1
MINNEAPOLIS W-5 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-01,DAVID LUCE,JON OLSON,UWI,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,JON OLSON,JON OLSON,1
MINNEAPOLIS W-4 P-02,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-01,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-03,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-04,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-02,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-02,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,DAVID LUCE,JON OLSON,UWI,1
MINNEAPOLIS W-5 P-6C,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,JON OLSON,1
MINNEAPOLIS W-5 P-02,DAVID LUCE,DAVID LUCE,DAVID LUCE,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-08,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-3 P-07,DAVID LUCE,JON OLSON,UWI,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,DAVID LUCE,JON OLSON,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-08,DAVID LUCE,JON OLSON,DAVID LUCE,1
MINNEAPOLIS W-4 P-06,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,DAVID LUCE,DAVID LUCE,DAVID LUCE,1
MINNEAPOLIS W-5 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,JON OLSON,JON OLSON,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-06,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-03,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-03,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-6C,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,DAVID LUCE,DAVID LUCE,1
MINNEAPOLIS W-5 P-03,JON OLSON,undervote,JON OLSON,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,JON OLSON,JON OLSON,1
MINNEAPOLIS W-5 P-04,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-02,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,DAVID LUCE,JON OLSON,DAVID LUCE,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-02,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-02,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-06,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,DAVID LUCE,UWI,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-08,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-04,JON OLSON,DAVID LUCE,JON OLSON,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,JON OLSON,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-07,UWI,DAVID LUCE,JON OLSON,1
MINNEAPOLIS W-5 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-07,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,JON OLSON,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,DAVID LUCE,DAVID LUCE,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-02,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,DAVID LUCE,JON OLSON,UWI,1
MINNEAPOLIS W-5 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,JON OLSON,UWI,1
MINNEAPOLIS W-4 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-03,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-07,UWI,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,DAVID LUCE,DAVID LUCE,1
MINNEAPOLIS W-4 P-08,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-08,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,JON OLSON,UWI,1
MINNEAPOLIS W-5 P-08,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-6C,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,DAVID LUCE,JON OLSON,JON OLSON,1
MINNEAPOLIS W-4 P-02,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-08,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-05,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-02,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-06,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,DAVID LUCE,UWI,1
MINNEAPOLIS W-3 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-08,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-05,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-08,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-5 P-6C,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-07,JON OLSON,DAVID LUCE,UWI,1
MINNEAPOLIS W-4 P-02,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-4 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-5 P-01,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-4 P-02,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-4 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-03,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-04,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-01,JON OLSON,DAVID LUCE,undervote,1
MINNEAPOLIS W-5 P-04,DAVID LUCE,JON OLSON,undervote,1
MINNEAPOLIS W-4 P-04,DAVID LUCE,undervote,undervote,1
MINNEAPOLIS W-5 P-04,JON OLSON,undervote,undervote,1
MINNEAPOLIS W-4 P-01,JON OLSON,undervote,undervote,1
